ISO3V10,Country_Standard,EVI,HAZARDS,RESISTANCE,DAMAGE,CCEVI,ENDEVI,HHEVI,AFEVI,WATEVI,CCDEVI,CBDEVI,WINDEVI,DRYEVI,WETEVI,HOTEVI,COLDEVI,SSTEVI,VOLCANOEVI,EARTHQKEVI,TSUNAMIEVI,SLIDESEVI,LANDEVI,DISPEVI,ISOLEVI,RELIEFEVI,LOWEVI,BORDEVI,IMBALEVI,OPENEVI,MIGEVI,ENDEMEVI,INTROEVI,ENDANGEVI,EXTINCTEVI,VEGEVI,VEGLOEVI,FRAGEVI,DEGEVI,RESRVEVI,MPAEVI,FARMEVI,FERTLEVI,PESTCDEVI,BIOTECHEVI,PRDOFEVI,FSHEFEVI,WATEREVI,SULPHEVI,WASTEEVI,TRTMNTEVI,INDUSTEVI,SPILLSEVI,MININGEVI,SANEVI,VEHEVI,POPDNEVI,POPGRTHEVI,TOUREVI,CSTPOPEVI,AGRMTEVI,CONFLTEVI,WIND,DRY,WET,HOT,COLD,SST,VOLCANO,EARTHQK,TSUNAMI,SLIDES,LAND,DISP,ISOL,RELIEF,LOW,BORD,IMBAL,OPEN,MIG,ENDEM,INTRO,ENDANG,EXTINCT,VEG,VEGLO,FRAG,DEG,RESRV,MPA,FARM,FERTL,PESTCD,BIOTECH,PRDOF,FSHEF,WATER,SULPH,WASTE,TRTMNT,INDUST,SPILLS,MINING,SAN,VEH,POPDN,POPGRTH,TOUR,CSTPOP,AGRMT,CONFLT
VIR,United States Virgin Islands,395.652,2.8,5.286,4.714,5,4,7,4,6,5,5,,4,7,,,2,1,1,1,,6,6,7,1,7,3,1,,7,,3,7,7,,,,,,,,,,1,3,,,7,,,,,1,,,7,,,,,1,,-40.4,106.2,,,4,0,0,0,,349,538.682,"2,080",521,100,4,0.049,,343.84,,2.865,42.98,3,,,,,,,,,,0,"914,000.20",,,41.003,,,,,0,,,350.175,,,,,0
LCA,Saint Lucia,393.103,3.2,4.571,5.125,4.875,4,2,5,6,5,5,,6,6,,,2,1,1,1,7,5,5,4,1,7,3,1,,7,,5,7,7,,,6,,,,7,,,1,4,,,2,,,,1,1,,,7,5,,,3,1,,-81,39,,,4,0,0,0,"1,639",610,259.016,340,940,100,3,0.226,,36.066,,6.557,29.508,2,,,1.984,,,,"2,530.90",,,0,"290,728.00",,,0.508,,,,0,0,,,259.308,1.227,,,42,0
FSM,Micronesia (Federated States of),391.892,3.136,5.25,5,4.818,3,7,4,6,4,5,7,4,7,1,1,2,1,1,1,1,5,7,7,1,7,3,1,,5,7,6,7,7,,,,,4,4,7,,,1,,,,,1,7,,1,1,,4,6,5,3,6,5,1,"1,248.65",-48.4,179.4,8.27,1.956,5,0,0,0,0,702,"8,706.55","2,500",791,100,4,0.006,,11.396,"357,549.86",14.245,29.915,3,,,,,10,10,"3,829.61",,,0,,,,,0.415,0,,0,0,,10.058,160.399,1.091,41.785,150,25,0
GUM,Guam,390.323,2.833,4.857,6.143,4.636,3,3,4,6,3,5,4,6,4,1,1,4,1,1,1,1,5,5,7,1,7,4,1,,5,,7,7,7,,,,,,,6,,,1,2,,,3,,,,1,1,,,7,6,7,7,,,354.065,-101,22.4,0,0,7,0,0,0,0,549,228.597,"2,700",406,100,5,0.159,,12.75,,72.86,27.322,5,,,,,,,831.025,,,0,"1,586,659.72",,,0.747,,,,0,0,,,286.989,1.898,"2,177.90",287,,
NLD,Netherlands,387.755,4.452,2.125,3.818,4.769,4,6,5,5,4,3,6,3,7,5,3,6,1,1,1,1,3,4,1,1,2,3,1,7,2,1,2,2,1,6,4,7,1,4,5,7,7,7,7,5,1,5,7,7,3,7,1,1,,7,7,4,7,7,1,1,448.67,-20,47.8,156.322,77.082,14,0,0,0,0,"33,920",86.704,0,328,7,3,0.057,"5,636.00",1.857,0,0.884,0.678,0,5,0,3.435,5,6,1.26,"33,688.88","22,630.75",326.423,136,"61,391.27",1.99,71,15.536,807.04,66.651,633.344,0,0,,172.194,465.389,0.562,288.925,435,230,0
BEL,Belgium,387.234,3.931,2.875,4.727,4.692,4,4,5,5,4,4,4,3,7,5,3,6,1,1,1,1,3,3,1,1,6,4,7,7,2,3,2,2,1,4,4,7,7,5,5,,7,2,7,5,2,5,7,,1,6,1,1,,7,7,3,6,7,1,1,336.961,-22.2,53.2,211.151,79.525,14,0,0,0,0,"30,230",48.329,0,694,65,5,-0.109,"5,764.70",2.018,33.08,0.728,0.827,0,21,0,4.825,65,3,0.11,,"38,302.18",0.327,188,"78,939.53",7.89,75,59.532,,100,157.866,0,0,,142.516,336.123,0.168,209.56,"1,110",211,0
LBN,Lebanon,387.234,3.966,3.25,4.364,4.462,3,6,4,5,4,4,2,5,2,5,3,6,1,1,1,1,4,4,1,3,4,3,1,7,3,4,2,3,1,6,7,3,5,5,5,6,5,,1,4,5,3,7,,,2,1,6,7,7,7,5,4,7,1,6,181.144,-57.2,7.4,167.719,79.837,13,0,0,0,0,"10,230",73.118,0,"3,088",33,3,0.214,787.195,3.812,97.752,0.88,1.466,0,1,-8,0.621,25,1,0.42,506.903,"5,660.22",,0,"263,260.01",33.42,27,8.728,,,5.645,0,253,118.704,95.926,320.821,1.39,66.667,321,74,3
ITA,Italy,385.714,4.065,3.5,3.727,4.462,4,5,4,4,4,3,7,4,4,5,3,5,7,1,2,4,2,3,1,4,5,7,1,7,1,5,2,2,2,4,1,5,6,4,5,7,6,7,7,5,1,3,7,1,1,4,1,1,,7,6,3,5,6,1,1,620.149,-45.2,19.6,149.024,67.238,11,"2,003",1,0.11,3,"294,060",37.945,0,"4,807",55,13,0.117,890.584,0.221,"2,475.69",0.19,0.323,0,20,0,1.644,28,7,1.01,"2,363.73","8,435.11",716.724,273,"69,469.40",4.36,30,6.676,0.007,100,32.594,0,0,,103.856,194.851,0.079,127.673,154,206,0
KIR,Kiribati,385.366,3.32,5.25,4.222,4.417,3,4,5,5,4,5,3,6,7,1,1,4,1,1,1,1,5,7,7,1,7,6,6,,4,5,6,7,1,2,,,,4,7,7,,2,1,3,,,1,,7,,1,1,7,3,5,7,1,5,5,1,234.899,-111.2,53.8,0.18,8.349,7,0,0,0,0,717,"1,594.14","3,250",81,100,9,-0.097,,6.974,"1,394.70",15.342,8.368,0,70,,,,8,0,"1,187.11",,0.002,0,"583,286.95",,,0.134,,0,,0,0,56.336,4.7,122.873,2.353,3.719,108,25,0
IND,India,384.783,3.786,2.875,5,3.846,4,5,5,5,4,3,2,6,7,1,1,3,1,1,2,5,1,2,1,7,1,5,7,5,1,5,2,2,2,4,1,4,7,5,5,6,5,6,6,6,7,3,5,,,,1,1,7,1,7,6,,6,1,7,184.101,-127.6,48.8,20.892,10.291,6,0,1,0.06,4,"2,973,190",10.522,0,"8,598",0,8,-0.223,19.923,0.029,"1,820.27",0.011,0.154,0,21,0,0.829,58,4,4.27,455.237,"5,084.32",24.907,22,"38,718.79",346.82,40,2.181,,,,0,0,242.063,1.364,340.934,1.577,,155,94,22
