id,country,iso3,gwno,year,geo_id,geolocation,level,adm1,adm2,adm3,location,historical,hist_country,disastertype,disasterno,Latitude,Longitude
1115,Chile,CHL,155,2005,3683,Camina,3,Tarapaca,Iquique,Camina,Camina,0,NA,earthquake,2005-0321,-19.25667137,-69.46401265
1115,Chile,CHL,155,2005,3716,Iquique,3,Tarapaca,Iquique,Iquique,Alto Hospicio,0,NA,earthquake,2005-0321,-20.13895983,-69.40659999
1115,Chile,CHL,155,2005,3742,Pica,3,Tarapaca,Iquique,Pica,Pica,0,NA,earthquake,2005-0321,-20.48666314,-68.92985029
1115,Chile,CHL,155,2005,3743,Pozo Almonte,3,Tarapaca,Iquique,Pozo Almonte,Pozo Almonte,0,NA,earthquake,2005-0321,-20.74559142,-69.53431967
1120,Chile,CHL,155,2007,3726,Maria Elena,3,Antofagasta,Tocopilla,Maria Elena,Maria Elena,0,NA,earthquake,2007-0587,-22.05079509,-69.42513163
2397,Greece,GRC,350,2000,6975,Ioannina,3,Epirus And Western Macedonia,Epirus,Ioannina,Michalitsi,0,NA,earthquake,2000-0303,39.64110212,20.88226481
2397,Greece,GRC,350,2000,7015,Preveza,3,Epirus And Western Macedonia,Epirus,Preveza,Mitikas,0,NA,earthquake,2000-0303,39.14468957,20.70319507
2552,Haiti,HTI,41,2010,7317,Kenscoff,3,Ouest,Port-au-Prince,Kenscoff,Kenscoff,0,NA,earthquake,2010-0017,18.40459993,-72.29065501
4421,Myanmar,MMR,775,2012,13969,Mogok,3,Mandalay,Pyin-Oo-Lwin,Mogok,Mogok,0,NA,earthquake,2012-0417,22.907203,96.44764414
4421,Myanmar,MMR,775,2012,14018,Singu,3,Mandalay,Pyin-Oo-Lwin,Singu,Singu,0,NA,earthquake,2012-0417,22.55591955,96.11568647
4421,Myanmar,MMR,775,2012,14030,Thabeikkyin,3,Mandalay,Pyin-Oo-Lwin,Thabeikkyin,Thabeikkyin,0,NA,earthquake,2012-0417,23.16641848,96.09296991
4470,Nepal,NPL,790,2011,14130,Bhaktapur,3,Central,Bagmati,Bhaktapur,Bhaktapur,0,NA,earthquake,2011-0351,27.67646531,85.44283138
4470,Nepal,NPL,790,2011,14132,Bhojpur,3,East,Koshi,Bhojpur,Bhojpur,0,NA,earthquake,2011-0351,27.17952946,87.06865533
4470,Nepal,NPL,790,2011,14161,Dhankuta,3,East,Koshi,Dhankuta,Dhankuta,0,NA,earthquake,2011-0351,26.99110971,87.33355772
4470,Nepal,NPL,790,2011,14170,Dolakha,3,Central,Janakpur,Dolakha,Dolakha,0,NA,earthquake,2011-0351,27.78583782,86.20023138
4470,Nepal,NPL,790,2011,14195,Ilam,3,East,Mechi,Ilam,Ilam,0,NA,earthquake,2011-0351,26.8810675,87.90348445
4470,Nepal,NPL,790,2011,14208,Jhapa,3,East,Mechi,Jhapa,Jhapa,0,NA,earthquake,2011-0351,26.58512704,87.91632788
4470,Nepal,NPL,790,2011,14232,Kathmandu,3,Central,Bagmati,Kathmandu,Kathmandu,0,NA,earthquake,2011-0351,27.72700863,85.34688669
4470,Nepal,NPL,790,2011,14239,Khotang,3,East,Sagarmatha,Khotang,Khotang,0,NA,earthquake,2011-0351,27.167664,86.79012995
4470,Nepal,NPL,790,2011,14240,Lalitpur,3,Central,Bagmati,Lalitpur,Lalitpur,0,NA,earthquake,2011-0351,27.53712611,85.34406563
4470,Nepal,NPL,790,2011,14295,Panchthar,3,East,Mechi,Panchthar,Panchthar,0,NA,earthquake,2011-0351,27.11337157,87.77651847
4470,Nepal,NPL,790,2011,14307,Ramechhap,3,Central,Janakpur,Ramechhap,Ramechhap,0,NA,earthquake,2011-0351,27.51252127,86.17961506
4470,Nepal,NPL,790,2011,14336,Sankhuwasabha,3,East,Koshi,Sankhuwasabha,Sankhuwasabha,0,NA,earthquake,2011-0351,27.58113971,87.28099624
4470,Nepal,NPL,790,2011,14356,Sindhupalchok,3,Central,Bagmati,Sindhupalchok,Sindhupalchok,0,NA,earthquake,2011-0351,27.91463216,85.74159439
4470,Nepal,NPL,790,2011,14368,Solukhumbu,3,East,Sagarmatha,Solukhumbu,Solukhambu,0,NA,earthquake,2011-0351,27.71000485,86.72345995
4470,Nepal,NPL,790,2011,14377,Sunsari,3,East,Koshi,Sunsari,Sunsari,0,NA,earthquake,2011-0351,26.65168012,87.17244306
