id,country,iso3,gwno,year,geo_id,geolocation,level,adm1,adm2,adm3,location,historical,hist_country,disastertype,disasterno,Latitude,Longitude
7215,Venezuela,VEN,101,1997,26366,Ribero,2,Sucre,Ribero,NA,Cariaco,0,NA,earthquake,1997-0147,10.44779049,-63.56293684
7389,Yemen,YEM,678,1991,27046,Hazm Al Udayn,2,Ibb,Hazm Al Udayn,NA,Hazm Al Udayn,0,NA,earthquake,1991-0682,14.12044925,43.92217944
7417,Yemen,YEM,678,1982,27034,Dhamar,1,Dhamar,NA,NA,Dhamar province,1,Yemen North,earthquake,1982-0131,14.59833699,44.20220098
7421,Macedonia,MKD,345,1963,12166,Aracinovo,1,Aracinovo,NA,NA,Skopje,1,Yugoslavia,earthquake,1963-0016,42.02555433,21.57955751
7421,Macedonia,MKD,345,1963,12192,Gazi Baba,1,Gazi Baba,NA,NA,Skopje,1,Yugoslavia,earthquake,1963-0016,42.01032034,21.51033215
7421,Macedonia,MKD,345,1963,12254,Studenicani,1,Studenicani,NA,NA,Skopje,1,Yugoslavia,earthquake,1963-0016,41.8148001,21.43293393
7424,Macedonia,MKD,345,1967,12188,Debar,1,Debar,NA,NA,Debar,1,Yugoslavia,earthquake,1967-0074,41.51723868,20.59336288
7428,Montenegro,SRB,345,1979,13555,Ulcinj,1,Ulcinj,NA,NA,Kotor-Ulcinj,1,Yugoslavia,earthquake,1979-0052,41.99127064,19.28675161
7429,Serbia,SRB,345,1980,19868,Rasinski,1,Rasinski,Rasina,NA,Aleksandrovac,1,Yugoslavia,earthquake,1980-0046,43.49327576,21.14862428
7429,Serbia,SRB,345,1980,19871,Raska,2,Raski,Raska,NA,Raska,1,Yugoslavia,earthquake,1980-0046,43.31160996,20.61580228
7431,Bosnia And Herzegovina,SRB,345,1981,2634,Repuplika Srpska,1,Repuplika Srpska,Republica Srpska,NA,Banja Luka,1,Yugoslavia,earthquake,1981-0073,44.22451292,18.04809316
7432,Macedonia,MKD,345,1983,12167,Aracinovo,1,Aracinovo,NA,NA,Skopje,1,Yugoslavia,earthquake,1983-0408,42.02555433,21.57955751
7432,Macedonia,MKD,345,1983,12193,Gazi Baba,1,Gazi Baba,NA,NA,Skopje,1,Yugoslavia,earthquake,1983-0408,42.01032034,21.51033215
7432,Macedonia,MKD,345,1983,12255,Studenicani,1,Studenicani,NA,NA,Skopje,1,Yugoslavia,earthquake,1983-0408,41.8148001,21.43293393
7433,Macedonia,MKD,345,1985,12189,Demir Kapija,1,Demir Kapija,NA,NA,Demir Kapija,1,Yugoslavia,earthquake,1985-0193,41.37948441,22.23188661
7433,Macedonia,MKD,345,1985,12225,Negotino,1,Negotino,NA,NA,Negotino,1,Yugoslavia,earthquake,1985-0193,41.50887233,22.11811153
7438,Democratic Republic Of The Congo,COD,490,1992,5817,Tanganyika,1,Tanganyika,NA,NA,Shaba province,0,NA,earthquake,1992-0064,-8.749957851,26.4033927
2633,Iceland,ISL,NA,1976,7667,Hofudborgarsv??di,1,Hofudborgarsv??di,NA,NA,Nordurland Eystra,0,NA,earthquake,1976-0020,64.16093459,-21.66486841
4951,Philippines,PHL,840,1970,17744,Metropolitan Manila,1,Metropolitan Manila,NA,NA,National Capital Region,0,NA,earthquake,1970-0004,14.59873565,121.0325745
4967,Philippines,PHL,840,1973,17745,Metropolitan Manila,1,Metropolitan Manila,NA,NA,National Capital Region,0,NA,earthquake,1973-0017,14.59873565,121.0325745
5123,Philippines,PHL,840,1994,17756,Metropolitan Manila,1,Metropolitan Manila,NA,NA,National Capital Region,0,NA,earthquake,1994-0518,14.59873565,121.0325745
6326,Turkey,TUR,640,1968,22269,Bartin,1,Bartin,NA,NA,Bartin,0,NA,earthquake,1968-0071,41.54824997,32.46654329
6338,Turkey,TUR,640,1977,22332,Elazig,1,Elazig,NA,NA,Elazig,0,NA,earthquake,1977-0052,38.67723027,39.42613253
6344,Turkey,TUR,640,1985,22359,Gumushane,1,Gumushane,NA,NA,Gumushane,0,NA,earthquake,1985-0276,40.33249908,39.41317633
7421,Macedonia,MKD,345,1963,12161,Aerodrom,1,Aerodrom,NA,NA,Skopje,1,Yugoslavia,earthquake,1963-0016,41.95251865,21.49279285
7421,Macedonia,MKD,345,1963,12173,Butel,1,Butel,NA,NA,Skopje,1,Yugoslavia,earthquake,1963-0016,42.07231491,21.46069347
7421,Macedonia,MKD,345,1963,12177,Cair,1,Cair,NA,NA,Skopje,1,Yugoslavia,earthquake,1963-0016,41.99367438,21.43627393
7421,Macedonia,MKD,345,1963,12181,Centar,1,Centar,NA,NA,Skopje,1,Yugoslavia,earthquake,1963-0016,41.97544577,21.42023024
7421,Macedonia,MKD,345,1963,12186,Cucer Sandevo,1,Cucer Sandevo,NA,NA,Skopje,1,Yugoslavia,earthquake,1963-0016,42.1319442,21.40351188
7421,Macedonia,MKD,345,1963,12197,Gjorce Petrov,1,Gjorce Petrov,NA,NA,Skopje,1,Yugoslavia,earthquake,1963-0016,42.0481835,21.31179864
7421,Macedonia,MKD,345,1963,12203,Ilinden,1,Ilinden,NA,NA,Skopje,1,Yugoslavia,earthquake,1963-0016,41.97791588,21.61994237
7421,Macedonia,MKD,345,1963,12207,Karpos,1,Karpos,NA,NA,Skopje,1,Yugoslavia,earthquake,1963-0016,41.98037755,21.3854358
7421,Macedonia,MKD,345,1963,12212,Kisela Voda,1,Kisela Voda,NA,NA,Skopje,1,Yugoslavia,earthquake,1963-0016,41.93088293,21.48039037
7421,Macedonia,MKD,345,1963,12231,Petrovec,1,Petrovec,NA,NA,Skopje,1,Yugoslavia,earthquake,1963-0016,41.89728713,21.69543131
7421,Macedonia,MKD,345,1963,12239,Saraj,1,Saraj,NA,NA,Skopje,1,Yugoslavia,earthquake,1963-0016,41.98539733,21.24384527
7421,Macedonia,MKD,345,1963,12243,Sopiste,1,Sopiste,NA,NA,Skopje,1,Yugoslavia,earthquake,1963-0016,41.85846843,21.32266366
7421,Macedonia,MKD,345,1963,12258,Suto Orizari,1,Suto Orizari,NA,NA,Skopje,1,Yugoslavia,earthquake,1963-0016,42.03153063,21.40736901
7421,Macedonia,MKD,345,1963,12267,Zelenikovo,1,Zelenikovo,NA,NA,Skopje,1,Yugoslavia,earthquake,1963-0016,41.809537,21.56163257
7429,Kosovo,SRB,345,1980,12024,Kosovska Mitrovica,1,Kosovska Mitrovica,NA,NA,Mt Kopaonik,1,Yugoslavia,earthquake,1980-0046,42.9130365,20.79125926
7429,Serbia,SRB,345,1980,19891,Toplicki,1,Toplicki,NA,NA,Kursumlija,1,Yugoslavia,earthquake,1980-0046,43.14526266,21.36693527
7432,Macedonia,MKD,345,1983,12162,Aerodrom,1,Aerodrom,NA,NA,Skopje,1,Yugoslavia,earthquake,1983-0408,41.95251865,21.49279285
7432,Macedonia,MKD,345,1983,12174,Butel,1,Butel,NA,NA,Skopje,1,Yugoslavia,earthquake,1983-0408,42.07231491,21.46069347
7432,Macedonia,MKD,345,1983,12178,Cair,1,Cair,NA,NA,Skopje,1,Yugoslavia,earthquake,1983-0408,41.99367438,21.43627393
7432,Macedonia,MKD,345,1983,12182,Centar,1,Centar,NA,NA,Skopje,1,Yugoslavia,earthquake,1983-0408,41.97544577,21.42023024
7432,Macedonia,MKD,345,1983,12187,Cucer Sandevo,1,Cucer Sandevo,NA,NA,Skopje,1,Yugoslavia,earthquake,1983-0408,42.1319442,21.40351188
7432,Macedonia,MKD,345,1983,12198,Gjorce Petrov,1,Gjorce Petrov,NA,NA,Skopje,1,Yugoslavia,earthquake,1983-0408,42.0481835,21.31179864
7432,Macedonia,MKD,345,1983,12204,Ilinden,1,Ilinden,NA,NA,Skopje,1,Yugoslavia,earthquake,1983-0408,41.97791588,21.61994237
7432,Macedonia,MKD,345,1983,12208,Karpos,1,Karpos,NA,NA,Skopje,1,Yugoslavia,earthquake,1983-0408,41.98037755,21.3854358
7432,Macedonia,MKD,345,1983,12213,Kisela Voda,1,Kisela Voda,NA,NA,Skopje,1,Yugoslavia,earthquake,1983-0408,41.93088293,21.48039037
